session_id	original_session_id
ses-850885881	ses-850885881
ses-850916851	ses-850916851
ses-851002801	ses-851002801
ses-851673495	ses-851673495
ses-851688593	ses-851688593
ses-851708174	ses-851708174
ses-851805908	ses-851805908
ses-851826230	ses-851826230
ses-851852960	ses-851852960
ses-851866160	ses-851866160
ses-851881593	ses-851881593
ses-851890102	ses-851890102
ses-852537319	ses-852537319
ses-852555856	ses-852555856
ses-852568572	ses-852568572
ses-852636209	ses-852636209
ses-852652585	ses-852652585
